Date,Apple Stand Hour (count),Apple Stand Time (min),Headphone Audio Exposure (dBASPL),Step Count (count),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Speed (km/hr),Walking Step Length (cm) 
2017-03-05 00:00:00,,,,356.24,0.222,,,
2017-03-06 00:00:00,,,,5257,3.31,,,
2017-03-07 00:00:00,,,,8882,5.63,,,
2017-03-08 00:00:00,,,,4439,3.03,,,
2017-03-09 00:00:00,,,,6185,3.69,,,
2017-03-10 00:00:00,,,,10097,6.82,,,
2017-03-11 00:00:00,,,,9378,5.54,,,
2017-03-12 00:00:00,,,,2537,1.48,,,
2017-03-13 00:00:00,,,,5678,3.27,,,
2017-03-14 00:00:00,,,,11028,6.88,,,
2017-03-15 00:00:00,,,,7017,4.41,,,
2017-03-16 00:00:00,,,,7057,4.55,,,
2017-03-17 00:00:00,,,,10021,6.48,,,
2017-03-18 00:00:00,,,,3825,2.48,,,
2017-03-19 00:00:00,,,,4160,2.34,,,
2017-03-20 00:00:00,,,,5136,3.15,,,
2017-03-21 00:00:00,,,,9725,6.09,,,
2017-03-22 00:00:00,,,,4844,3.12,,,
2017-03-23 00:00:00,,,,6396,4.03,,,
2017-03-24 00:00:00,,,,7799,5.11,,,
2017-03-25 00:00:00,,,,4584,2.91,,,
2017-03-26 00:00:00,,,,4220,2.32,,,
2017-03-27 00:00:00,,,,7030,4.32,,,
2017-03-28 00:00:00,,,,11250,6.67,,,
2017-03-29 00:00:00,,,,583,0.424,,,
2017-03-30 00:00:00,,,,8892,5.71,,,
2017-03-31 00:00:00,,,,8145,5.37,,,
2017-04-01 00:00:00,,,,7255,4.23,,,
2017-04-02 00:00:00,,,,12953,8.01,,, 
2017-04-03 00:00:00,,,,3546,2.49,,, 
2017-04-04 00:00:00,,,,10208,6,,, 
2017-04-05 00:00:00,,,,3616,2.07,,, 
2017-04-06 00:00:00,,,,13200,9.14,,, 
2017-04-08 00:00:00,,,,14080,8.6,,, 
2017-04-09 00:00:00,,,,29104,15.48,,, 
2017-04-10 00:00:00,,,,20590,10.83,,, 
2017-04-11 00:00:00,,,,30598,16.96,,, 
2017-04-12 00:00:00,,,,5191,3.51,,, 
2017-04-13 00:00:00,,,,7286,4.11,,, 
2017-04-14 00:00:00,,,,5138,3.12,,, 
2017-04-15 00:00:00,,,,952,0.551,,, 
2017-04-16 00:00:00,,,,424,0.267,,, 
2017-04-17 00:00:00,,,,6472,3.68,,, 
2017-04-18 00:00:00,,,,7929,4.39,,, 
2017-04-19 00:00:00,,,,449,0.306,,, 
2017-04-20 00:00:00,,,,11964,7.31,,, 
2017-04-21 00:00:00,,,,7841,4.88,,, 
2017-04-22 00:00:00,,,,3065,1.86,,, 
2017-04-23 00:00:00,,,,13257,7.95,,, 
2017-04-24 00:00:00,,,,6670,3.73,,, 
2017-04-25 00:00:00,,,,11277,6.52,,, 
2017-04-26 00:00:00,,,,292,0.201,,, 
2017-04-27 00:00:00,,,,10261,5.9,,, 
2017-04-28 00:00:00,,,,7768,4.46,,, 
2017-04-29 00:00:00,,,,7303,4.62,,, 
2017-04-30 00:00:00,,,,4529,2.55,,, 
2017-05-01 00:00:00,,,,7239,4.69,,, 
2017-05-02 00:00:00,,,,8166,4.65,,, 
2017-05-03 00:00:00,,,,3900,2.47,,, 
2017-05-04 00:00:00,,,,8894,5.16,,, 
2017-05-05 00:00:00,,,,10887,6.63,,, 
2017-05-06 00:00:00,,,,5925,4.03,,, 
2017-05-07 00:00:00,,,,5943,3.47,,, 
2017-05-08 00:00:00,,,,2020,1.13,,, 
2017-05-09 00:00:00,,,,11300,6.71,,, 
2017-05-10 00:00:00,,,,3575,2.25,,, 
2017-05-11 00:00:00,,,,8397,5.28,,, 
2017-05-12 00:00:00,,,,6059,3.84,,, 
2017-05-13 00:00:00,,,,9311,5.77,,, 
2017-05-14 00:00:00,,,,2597,1.63,,, 
2017-05-15 00:00:00,,,,6712,4.28,,, 
2017-05-16 00:00:00,,,,9302,5.47,,, 
2017-05-17 00:00:00,,,,358,0.257,,, 
2017-05-18 00:00:00,,,,9054,6.13,,, 
2017-05-19 00:00:00,,,,8110,5.43,,, 
2017-05-20 00:00:00,,,,11014,7.19,,, 
2017-05-21 00:00:00,,,,6647,4.2,,, 
2017-05-22 00:00:00,,,,6200,4.02,,, 
2017-05-23 00:00:00,,,,10521,6.51,,, 
2017-05-24 00:00:00,,,,4292,2.67,,, 
2017-05-25 00:00:00,,,,9060,4.95,,, 
2017-05-26 00:00:00,,,,9214,5.31,,, 
2017-05-27 00:00:00,,,,6437,4.2,,, 
2017-05-28 00:00:00,,,,1130,0.674,,, 
2017-05-29 00:00:00,,,,6114,3.69,,, 
2017-05-30 00:00:00,,,,6067,3.56,,, 
2017-05-31 00:00:00,,,,674.74,0.477,,, 
2017-06-01 00:00:00,,,,8591,5.46,,, 
2017-06-02 00:00:00,,,,6842,4.11,,, 
2017-06-03 00:00:00,,,,5597,3.57,,, 
2017-06-04 00:00:00,,,,6093,4.62,,, 
2017-06-05 00:00:00,,,,1497,0.869,,, 
2017-06-06 00:00:00,,,,8643,5.71,,, 
2017-06-07 00:00:00,,,,589,0.401,,, 
